question,passage,label
Is pineapple a fruit or a vegetable?,"Pineapple is a fruit that belongs to the Bromeliaceae family. It is a tropical plant with edible multiple fruit consisting of coalesced berries, and it is commonly called a pineapple.",1
Is the Great Wall of China visible from space during a clear day?,"The Great Wall of China is often claimed to be visible from space, but this is actually a misconception. Astronauts have stated that the Great Wall is difficult to see with the naked eye from space and can only be seen with aid such as binoculars or a camera with a telephoto lens.",1
Is coffee considered a type of fruit?,"Coffee beans are actually seeds found inside the berries of the Coffea plant, so in that sense, yes, coffee can be considered a type of fruit.",1
Is the Great Barrier Reef the largest living structure on Earth?,"Great Barrier Reef -- The Great Barrier Reef is the world's largest coral reef system composed of over 2,900 individual reefs and 900 islands stretching for over 2,300 kilometers (1,400 miles) over an area of approximately 344,400 square kilometers (133,000 square miles).",1
Is yoga an effective way to reduce stress?,"Yoga has been shown to be effective in reducing stress levels by combining physical postures, breathing techniques, and meditation. Many people find it helpful in promoting relaxation and a sense of well-being. However, individual experiences may vary, and it's important to find the right practice that works for each person.",1
Is sushi a type of Japanese cuisine?,"Sushi is a traditional Japanese dish consisting of vinegared rice combined with various ingredients like seafood, vegetables, and occasionally tropical fruits. It is recognized as a popular and iconic dish in Japanese cuisine.",1
Is sushi traditionally eaten with chopsticks?,"Sushi is often enjoyed with chopsticks, but it can also be eaten with hands, especially when consuming certain types like nigirizushi. The choice of utensil can depend on personal preference and the specific type of sushi being eaten.",1
Is sushi a popular dish in Japan?,"Sushi, a traditional Japanese cuisine, has gained widespread popularity both within Japan and worldwide for its unique flavors and culinary artistry.",1
Is pineapple a popular pizza topping in some regions?,"Hawaiian pizza, which features pineapple as a topping, is a divisive dish that sparks debates among pizza lovers around the world.",1
Is green tea a good source of antioxidants?,"Green tea is considered to be a good source of antioxidants, which are beneficial for overall health and well-being.",1
Is chocolate ice cream a popular flavor choice during the summer?,"Chocolate ice cream, known for its rich and indulgent taste, is a beloved flavor choice for many during the summer months when people seek a cool and sweet treat to beat the heat.",1
Is chocolate considered a type of candy?,"Chocolate is often considered a type of candy due to its sweet taste and confectionery nature, but it can also be classified separately as a distinct category of treat.",1
Is coffee one of the most popular beverages worldwide?,Coffee is enjoyed by millions of people around the world due to its rich flavor and stimulating effects.,1
Is it true that elephants have the best memory among all animals?,"Elephants are known for their exceptional memory skills and are considered to have one of the best memories among all animals. Their long-term memory allows them to remember important locations, recognize other elephants, and recall various survival strategies.",1
Is it common for people to wear sunglasses indoors?,"Wearing sunglasses indoors can be a personal choice or a fashion statement for some individuals. While it may not be typical behavior for everyone, some people may choose to do so for various reasons such as light sensitivity, eye health concerns, or simply as a style preference.",1
Is the Eiffel Tower taller than the Empire State Building?,"Eiffel Tower -- The Eiffel Tower is a wrought-iron lattice tower on the Champ de Mars in Paris, France. It is named after the engineer Gustave Eiffel, whose company designed and built the tower. The Eiffel Tower is 1,063 feet tall, while the Empire State Building in New York City stands at 1,454 feet tall, making it taller than the Eiffel Tower.",1
Is it true that bananas are a type of berry?,"Bananas are botanically classified as berries, specifically as a type of berry called a 'botanical berry.'",1
Is vanilla extract used in baking?,Vanilla extract is a commonly used ingredient in baking and cooking to add flavor to various dishes.,1
Is chocolate ice cream a popular flavor choice during the summer?,"During the warmer months, many people enjoy indulging in refreshing treats like ice cream, with chocolate being a classic and widely popular flavor option for those looking to satisfy their sweet tooth.",1
Is dark chocolate considered healthier than milk chocolate?,"Dark chocolate has higher cocoa content compared to milk chocolate, which means it contains more antioxidants and less sugar. This can make dark chocolate a better choice for health, but moderation is key due to its calorie and fat content.",1
Is green tea a traditional beverage in Japan?,Green tea is an integral part of Japanese culture and has been consumed for centuries as a traditional beverage with many health benefits.,1
Is the Eiffel Tower taller than the Empire State Building?,"The Eiffel Tower stands at 1,063 feet tall, while the Empire State Building is 1,454 feet tall, making the Empire State Building taller than the Eiffel Tower.",1
Is sushi traditionally eaten with chopsticks?,"Sushi is a traditional Japanese dish that can be eaten with chopsticks, but it is also acceptable to eat it with your hands. The use of chopsticks largely depends on personal preference and the type of sushi being eaten.",1
Are dolphins considered one of the most intelligent animals?,"Dolphins are known for their high intelligence and complex social behavior, leading many to consider them one of the most intelligent animals in the world.",1
Is coffee the most popular beverage in the world?,Coffee is a widely consumed beverage enjoyed by people all around the world for its stimulating effects and rich flavor.,1
Is it true that turtles can live for over 100 years?,"Green sea turtles are known to live for several decades, with some individuals reaching ages in excess of 100 years. Their long lifespan is one of the reasons why they are considered to be a symbol of longevity in various cultures around the world.",1
Is chocolate ice cream a popular flavor?,Chocolate ice cream is enjoyed by many people around the world for its rich and indulgent taste.,1
Is coffee considered a type of fruit?,"Coffee beans are actually seeds found inside the berries of the Coffea plant, so in a botanical sense, coffee can be considered a type of fruit.",1
Is sushi a traditional Japanese dish?,"Sushi is a popular Japanese dish that typically consists of vinegared rice topped or mixed with various ingredients such as raw fish, vegetables, and seaweed. It has become a well-known and enjoyed cuisine worldwide.",1
Is sushi considered a traditional food in Japan?,"Sushi is a popular Japanese dish that has been enjoyed for centuries, often as a staple in Japanese cuisine.",1
Are elephants the largest land animals on Earth?,"Elephants are herbivorous and can weigh up to 12,000 pounds, making them some of the largest land animals on Earth.",1
Is sushi a traditional Japanese dish?,"Sushi, a dish made of vinegared rice combined with various ingredients such as seafood, vegetables, and occasionally tropical fruits, is considered a traditional Japanese cuisine. It has evolved over centuries in Japan and has gained popularity worldwide for its unique flavors and presentation.",1
Is sushi a traditional Japanese dish?,Sushi is a popular Japanese dish that has been around for centuries and is considered a traditional part of Japanese cuisine.,1
Is chocolate cake a popular dessert choice?,"Chocolate cake is loved by many for its rich and decadent flavor, making it a popular dessert choice for various occasions.",1
Is it true that flamingos can only eat when their heads are upside down?,"Flamingos have a unique way of eating by using their beaks upside down in the water to filter out food like algae, small fish, and crustaceans. However, they can also eat with their heads right side up if needed.",1
Is salsa considered a type of Latin dance?,"Salsa is a popular form of social dance that originated in the Caribbean, but it is not typically considered a traditional Latin dance like the tango or the samba.",1
Is coffee grown in Brazil considered some of the best in the world?,"Brazil is one of the largest producers of coffee in the world and is well-known for producing high-quality Arabica coffee beans, which are considered among the best in the world.",1
Is chocolate ice cream a popular flavor?,"Chocolate ice cream, with its rich and creamy taste, is indeed a popular flavor loved by many ice cream enthusiasts around the world.",1
Is yoga beneficial for improving flexibility?,Yoga is known to help improve flexibility through a combination of poses and stretches that target different muscle groups. Regular practice of yoga can lead to increased flexibility over time.,1
Is coffee considered a stimulant?,"Caffeine, a key component of coffee, is a central nervous system stimulant that can increase alertness and reduce fatigue.",1
Is it true that dolphins are considered one of the most intelligent animals in the world?,"Dolphins are known for their high levels of intelligence, social behavior, communication skills, and ability to problem solve. They are considered one of the most intelligent animals on the planet.",1
Is sushi considered a traditional Japanese dish?,Sushi is a type of dish that originated in Japan and is considered a traditional part of Japanese cuisine.,1
Is coffee considered a fruit?,"Coffee beans are actually seeds found inside the berries of the Coffea plant, making them technically a type of stone fruit rather than a true bean. So, in a way, coffee can be considered a fruit because it comes from a berry-like fruit.",1
Is the Eiffel Tower the tallest structure in Paris?,"The Eiffel Tower, standing at 1,063 feet tall, was the tallest structure in the world from its completion in 1889 until 1930. It held this title until the Chrysler Building in New York City surpassed it. The Eiffel Tower remains the tallest structure in Paris but has been surpassed by other buildings worldwide.",1
Is sushi a traditional Japanese dish?,"Sushi is a popular dish that originated in Japan and has now become popular worldwide, known for its unique flavors and presentation.",1
Is sushi traditionally eaten with chopsticks?,"Sushi is a popular Japanese dish that is traditionally eaten with chopsticks, but it is also acceptable to eat with fingers in less formal settings.",1
Is it true that honey bees communicate with each other through dance?,Honey bees have a fascinating way of communicating with each other through a complex dance known as the waggle dance. This dance conveys information about the direction and distance of a food source to other members of the hive.,1
Is chocolate made from cocoa beans?,Chocolate is a popular sweet treat made from roasted and ground cacao seeds (beans).,1
Is coffee the most popular drink in the morning?,Coffee is enjoyed by many people in the morning for its caffeine boost and rich flavor.,1
Can elephants paint?,Elephants have been known to paint using their trunks in various conservation centers and zoos as a form of enrichment and stimulation. They are taught to hold a brush or other painting tool and create colorful abstract artworks. These paintings are often sold to raise funds for elephant conservation efforts.,1
Is coffee made from coffee beans?,"Coffee is a brewed drink prepared from roasted coffee beans, which are the seeds of berries from the Coffea plant. So, yes, coffee is indeed made from coffee beans.",1
