question,passage,label,idx
can you still use a 2 bill,united states twodollar bill  the united states twodollar bill 2 is a current denomination of us currency the third us president 180109 thomas jefferson is featured on the obverse of the note the reverse features an engraving of the painting the declaration of independence by john trumbull throughout the 2 bills pre1929 life as a largesized note it was issued as a united states note national bank note silver certificate treasury or coin note and federal reserve bank note when us currency was changed to its current size the 2 bill was issued only as a united states note production went on until 1966 when the series was discontinued ten years passed before the 2 bill was reissued as a federal reserve note with a new reverse design twodollar bills are seldom seen in circulation as a result of banking policies with businesses which has resulted in low production numbers due to lack of demand this comparative scarcity in circulation coupled with a lack of public knowledge that the bill is still in production and circulation has also inspired urban legends about its authenticity and value and has occasionally created problems for those trying to use the bill to make purchases,1,4894
can you still use a 2 bill,united states twodollar bill 2 is a current denomination of us currency the third us president 180109 thomas jefferson is featured on the obverse of the note. The reverse features an engraving of  the painting the declaration of independence by john trumbull.,1,4894
"can you still use a 2 bill   ? Please email us at jennifer.smith@mailonline.co.uk. We would like to hear from you about your plans for the future. Please send photos of your family and pets to iReport.com. For more information, visit",United States twodollar bill 2 is a current denomination of us currency the third us president 180109 thomas jefferson is featured on the obverse of the note. The reverse features an engraving of  the painting the declaration of independence by john trumbull.,1,4894
"can you still use a 2 bill   ? Please email us at jennifer.smith@mailonline.co.uk. We would like to hear from you about your plans for the future. Please send photos of your family and pets to iReport.com. For more information, visit",united states twodollar bill 2 is a current denomination of us currency the third us president 180109 thomas jefferson is featured on the obverse of the note. The reverse features an engraving of a painting the declaration of independence by john trumbull.,1,4894
can you still use a 2 bill,United States twodollar bill 2 is a current denomination of us currency the third us president 180109 thomas jefferson is featured on the obverse of the note. The reverse features an engraving of  the painting the declaration of independence by john trumbull.,1,4894
can you still use a 2 bill,united states twodollar bill 2 is a current denomination of us currency the third us president 180109 thomas jefferson is featured on the obverse of the note. The reverse features an engraving of a painting the declaration of independence by john trumbull.,1,4894
"can you still use a 2 bill   ? Please email us at jennifer.smith@mailonline.co.uk. We would like to hear from you about your plans for the future. Please send photos of your family and pets to iReport.com. For more information, visit",united states twodollar bill  the united states twodollar bill 2 is a current denomination of us currency the third us president 180109 thomas jefferson is featured on the obverse of the note the reverse features an engraving of the painting the declaration of independence by john trumbull throughout the 2 bills pre1929 life as a largesized note it was issued as a united states note national bank note silver certificate treasury or coin note and federal reserve bank note when us currency was changed to its current size the 2 bill was issued only as a united states note production went on until 1966 when the series was discontinued ten years passed before the 2 bill was reissued as a federal reserve note with a new reverse design twodollar bills are seldom seen in circulation as a result of banking policies with businesses which has resulted in low production numbers due to lack of demand this comparative scarcity in circulation coupled with a lack of public knowledge that the bill is still in production and circulation has also inspired urban legends about its authenticity and value and has occasionally created problems for those trying to use the bill to make purchases,1,4894
"can you still use a 2 bill   ? Please email us at jennifer.smith@mailonline.co.uk. We would like to hear from you about your plans for the future. Please send photos of your family and pets to iReport.com. For more information, visit",united states twodollar bill 2 is a current denomination of us currency the third us president 180109 thomas jefferson is featured on the obverse of the note. The reverse features an engraving of  the painting the declaration of independence by john trumbull.,1,4894
is a border crossing card a travel document,border crossing card  a border crossing card bcc is an identity document as well as a b1b2 visa that allows entry into the united states by mexican citizens as a standalone document the bcc allows mexican citizens to visit the border areas of the us when entering by land or sea directly from mexico for less than 72 hours the document also functions as a full b1b2 visa when presented with a valid mexican passport section 104 of the united states illegal immigration reform and immigrant responsibility act of 1996 iirira serves as the legal basis for the issuance of border crossing cards,1,7802
is a border crossing card a travel document,The bcc is an identity document as well as a b1b2 visa. It allows mexican citizens to visit the border areas of the us when entering by land or sea directly directly from Mexico. As a standalone document it allows entry into the united states.,1,7802
"is a border crossing card a travel document. It can be used as a passport, ID card, or as part of a work permit. The card can also be a form of ID, a boarding card or a social security card. In the U.S. it is known as the American Pass",The bcc is an identity document as well as a b1b2 visa. It allows mexican citizens to visit the border areas of the us when entering by land or sea directly directly from Mexico. As a standalone document it can also be used to apply for a visa to enter the United States,1,7802
"is a border crossing card a travel document. It can be used as a passport, ID card, or as part of a work permit. The card can also be a form of ID, a boarding card or a social security card. In the U.S. it is known as the American Pass",The bcc is an identity document as well as a b1b2 visa. It allows mexican citizens to visit the border areas of the us when entering by land or sea directly directly from Mexico. As a standalone document it can also be used to apply for a visa to the United States.,1,7802
is a border crossing card a travel document,The bcc is an identity document as well as a b1b2 visa. It allows mexican citizens to visit the border areas of the us when entering by land or sea directly directly from Mexico. As a standalone document it can also be used to apply for a visa to enter the United States,1,7802
is a border crossing card a travel document,The bcc is an identity document as well as a b1b2 visa. It allows mexican citizens to visit the border areas of the us when entering by land or sea directly directly from Mexico. As a standalone document it can also be used to apply for a visa to the United States.,1,7802
"is a border crossing card a travel document. It can be used as a passport, ID card, or as part of a work permit. The card can also be a form of ID, a boarding card or a social security card. In the U.S. it is known as the American Pass",border crossing card  a border crossing card bcc is an identity document as well as a b1b2 visa that allows entry into the united states by mexican citizens as a standalone document the bcc allows mexican citizens to visit the border areas of the us when entering by land or sea directly from mexico for less than 72 hours the document also functions as a full b1b2 visa when presented with a valid mexican passport section 104 of the united states illegal immigration reform and immigrant responsibility act of 1996 iirira serves as the legal basis for the issuance of border crossing cards,1,7802
"is a border crossing card a travel document. It can be used as a passport, ID card, or as part of a work permit. The card can also be a form of ID, a boarding card or a social security card. In the U.S. it is known as the American Pass",The bcc is an identity document as well as a b1b2 visa. It allows mexican citizens to visit the border areas of the us when entering by land or sea directly directly from Mexico. As a standalone document it allows entry into the united states.,1,7802
is there a island of garbage in the ocean,great pacific garbage patch  the great pacific garbage patch also described as the pacific trash vortex is a gyre of marine debris particles in the central north pacific ocean discovered between 1985 and 1988 it is located roughly between 135°w to 155°w and 35°n and 42°n the patch extends over an indeterminate area of widely varying range depending on the degree of plastic concentration used to define the affected area,1,6091
is there a island of garbage in the ocean,"The great pacific garbage patch is a gyre of marine debris particles in the central northpacific ocean discovered between 1985 and 1988. It is located roughly between 135°w to 155°W and 35°n and 42°N. The patch has been described as the ""Pacific trash vortex""",1,6091
"is there a island of garbage in the ocean? The answer is yes, of course there is. It's just that we don't know where to look for it. Click through the gallery to see more photos of the world's garbage. For more, go to CNN.com/sail.",The great pacific garbage patch is a gyre of marine debris particles in the central northpacific ocean discovered between 1985 and 1988. It is located roughly between 135°w to 155°W and 35°n and 42°N the patch was first discovered in 1985.,1,6091
"is there a island of garbage in the ocean? The answer is yes, of course there is. It's just that we don't know where to look for it. Click through the gallery to see more photos of the world's garbage. For more, go to CNN.com/sail.","The great pacific garbage patch is a gyre of marine debris particles in the central northpacific ocean discovered between 1985 and 1988. It is located roughly between 135°w to 155°W and 35°n and 42°N. The patch has been described as the ""Pacific Trash Vortex""",1,6091
is there a island of garbage in the ocean,The great pacific garbage patch is a gyre of marine debris particles in the central northpacific ocean discovered between 1985 and 1988. It is located roughly between 135°w to 155°W and 35°n and 42°N the patch was first discovered in 1985.,1,6091
is there a island of garbage in the ocean,"The great pacific garbage patch is a gyre of marine debris particles in the central northpacific ocean discovered between 1985 and 1988. It is located roughly between 135°w to 155°W and 35°n and 42°N. The patch has been described as the ""Pacific Trash Vortex""",1,6091
"is there a island of garbage in the ocean? The answer is yes, of course there is. It's just that we don't know where to look for it. Click through the gallery to see more photos of the world's garbage. For more, go to CNN.com/sail.",great pacific garbage patch  the great pacific garbage patch also described as the pacific trash vortex is a gyre of marine debris particles in the central north pacific ocean discovered between 1985 and 1988 it is located roughly between 135°w to 155°w and 35°n and 42°n the patch extends over an indeterminate area of widely varying range depending on the degree of plastic concentration used to define the affected area,1,6091
"is there a island of garbage in the ocean? The answer is yes, of course there is. It's just that we don't know where to look for it. Click through the gallery to see more photos of the world's garbage. For more, go to CNN.com/sail.","The great pacific garbage patch is a gyre of marine debris particles in the central northpacific ocean discovered between 1985 and 1988. It is located roughly between 135°w to 155°W and 35°n and 42°N. The patch has been described as the ""Pacific trash vortex""",1,6091
does canada have a one thousand dollar bill,withdrawn canadian banknotes  printing of the 1000 note ceased in 2000 the denomination was withdrawn on the advice of the solicitor general and the royal canadian mounted police rcmp as it was often used for money laundering and organized crime the bank of canada has requested that financial institutions return 1000 notes for destruction the most recent issue of this denomination was in 1992 as part of the birds of canada series it was pink in colour featuring queen elizabeth ii on the face and two pine grosbeaks on the back,0,6258
does canada have a one thousand dollar bill,The bank of canada has requested that financial institutions return 1000 notes for destruction. The denomination was withdrawn on the advice of the solicitor general and the royal canadian mounted policercmp as it was often used for money laundering and organized crime. printing of  the 1000 note ceased in 2000.,0,6258
does canada have a one thousand dollar bill? What do you think? Share your thoughts in the comments below. Do you know the story behind Canada's one-hundred dollar bills? Send photos and videos to jennifer.smith@mailonline.co.uk.,The bank of canada has requested that financial institutions return 1000 notes for destruction. The denomination was withdrawn on the advice of the solicitor general and the royal canadian mounted police rcmp as it was often used for money laundering and organized crime. printing of  the 1000 note ceased in 2000.,0,6258
does canada have a one thousand dollar bill? What do you think? Share your thoughts in the comments below. Do you know the story behind Canada's one-hundred dollar bills? Send photos and videos to jennifer.smith@mailonline.co.uk.,The bank of canada has requested that financial institutions return 1000 notes for destruction. The denomination was withdrawn on the advice of the solicitor general and the royal canadian mounted policercmp as it was often used for money laundering and organized crime. printing of  the 1000 note ceased in 2000 and was replaced by,0,6258
does canada have a one thousand dollar bill,The bank of canada has requested that financial institutions return 1000 notes for destruction. The denomination was withdrawn on the advice of the solicitor general and the royal canadian mounted police rcmp as it was often used for money laundering and organized crime. printing of  the 1000 note ceased in 2000.,0,6258
does canada have a one thousand dollar bill,The bank of canada has requested that financial institutions return 1000 notes for destruction. The denomination was withdrawn on the advice of the solicitor general and the royal canadian mounted policercmp as it was often used for money laundering and organized crime. printing of  the 1000 note ceased in 2000 and was replaced by,0,6258
does canada have a one thousand dollar bill? What do you think? Share your thoughts in the comments below. Do you know the story behind Canada's one-hundred dollar bills? Send photos and videos to jennifer.smith@mailonline.co.uk.,withdrawn canadian banknotes  printing of the 1000 note ceased in 2000 the denomination was withdrawn on the advice of the solicitor general and the royal canadian mounted police rcmp as it was often used for money laundering and organized crime the bank of canada has requested that financial institutions return 1000 notes for destruction the most recent issue of this denomination was in 1992 as part of the birds of canada series it was pink in colour featuring queen elizabeth ii on the face and two pine grosbeaks on the back,0,6258
